,lat,lon,Department,City,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,P/sqmtr
5095,4.695,-74.082,Cundinamarca,Bogotá D.C,3.0,3.0,104.0,104.0,510000000.0,Apartamento,4903846.0
5097,4.846,-74.062,Cundinamarca,Chía,3.0,4.0,114.0,114.0,400000000.0,Casa,3508771.0
5098,3.441,-76.547,Valle del Cauca,Cali,3.0,4.0,210.0,210.0,600000000.0,Apartamento,2857142.0
5099,6.193,-75.567,Antioquia,Medellín,3.0,4.0,190.0,190.0,870000000.0,Apartamento,4578947.0
5101,4.534,-75.697,Quindío,Armenia,4.0,2.0,50.0,100.0,160000000.0,Casa,3200000.0
5102,5.065,-75.494,Caldas,Manizales,4.0,2.0,110.0,220.0,320000000.0,Casa,2909090.0
5103,3.4,-76.533,Valle del Cauca,Cali,4.0,3.0,150.0,300.0,420000000.0,Casa,2800000.0
5106,5.748,-73.002,Boyacá,Tibasosa,4.0,4.0,442.0,248.0,700000000.0,Casa,1583710.0
5107,4.72,-74.04,Cundinamarca,Bogotá D.C,4.0,4.0,170.0,180.0,520000000.0,Casa,3058823.0
5110,4.849,-74.075,Cundinamarca,Chía,4.0,5.0,543.0,343.0,800000000.0,Casa,1473296.0
5114,6.26,-75.605,Antioquia,Medellín,7.0,5.0,157.0,314.0,550000000.0,Casa,3503184.0
5115,4.711,-74.119,Cundinamarca,Bogotá D.C,16.0,6.0,128.0,405.0,600000000.0,Casa,4687500.0
5116,3.423,-76.56,Valle del Cauca,Cali,2.0,2.0,57.0,57.0,150000000.0,Apartamento,2631578.0
5117,3.358,-76.51,Valle del Cauca,Cali,2.0,2.0,57.0,57.0,150000000.0,Apartamento,2631578.0
5118,4.864,-74.045,Cundinamarca,Chía,3.0,3.0,116.0,114.0,353000000.0,Casa,3043103.0
5120,3.488,-76.527,Valle del Cauca,Cali,3.0,2.0,60.0,60.0,170000000.0,Apartamento,2833333.0
5121,4.691,-74.055,Cundinamarca,Bogotá D.C,3.0,4.0,110.0,194.0,975000000.0,Apartamento,8863636.0
5122,4.648,-74.082,Cundinamarca,Bogotá D.C,3.0,3.0,103.0,94.0,498500000.0,Apartamento,4839805.0
5123,4.729,-74.07,Cundinamarca,Bogotá D.C,3.0,3.0,167.0,167.0,590000000.0,Casa,3532934.0
5124,4.912,-74.048,Cundinamarca,Cajicá,4.0,4.0,131.0,131.0,470000000.0,Casa,3587786.0
5126,6.196,-75.575,Antioquia,Medellín,4.0,4.0,238.0,238.0,895000000.0,Apartamento,3760504.0
5128,4.703,-74.099,Cundinamarca,Bogotá D.C,4.0,3.0,158.0,188.0,460000000.0,Casa,2911392.0
5129,3.407,-76.528,Valle del Cauca,Cali,3.0,2.0,60.0,60.0,175000000.0,Apartamento,2916666.0
5130,4.856,-74.056,Cundinamarca,Chía,3.0,2.0,52.0,52.0,180000000.0,Apartamento,3461538.0
5131,4.812,-75.732,Risaralda,Pereira,3.0,2.0,72.0,72.0,120000000.0,Apartamento,1666666.0
5132,4.801,-75.752,Risaralda,Pereira,3.0,2.0,75.0,75.0,190000000.0,Apartamento,2533333.0
5133,11.152,-74.226,Magdalena,Santa Marta,1.0,2.0,73.0,61.0,585000000.0,Apartamento,8013698.0
5134,3.448,-76.491,Valle del Cauca,Cali,6.0,3.0,80.0,150.0,250000000.0,Casa,3125000.0
5135,4.807,-75.755,Risaralda,Pereira,3.0,3.0,134.0,134.0,203000000.0,Casa,1514925.0
5136,4.809,-74.102,Cundinamarca,Cota,4.0,4.0,183.0,183.0,930000000.0,Casa,5081967.0
5137,3.349,-76.529,Valle del Cauca,Cali,3.0,4.0,230.0,230.0,700000000.0,Apartamento,3043478.0
5138,3.269,-76.539,Valle del Cauca,Jamundí,6.0,5.0,140.0,246.0,310000000.0,Casa,2214285.0
5139,4.528,-75.693,Quindío,Armenia,7.0,1.0,130.0,130.0,145000000.0,Casa,1115384.0
5140,6.34,-75.559,Antioquia,Bello,3.0,2.0,72.0,72.0,186000000.0,Casa,2583333.0
5141,6.341,-75.558,Antioquia,Bello,3.0,2.0,77.0,77.0,170000000.0,Apartamento,2207792.0
5142,3.453,-76.547,Valle del Cauca,Cali,3.0,3.0,150.0,180.0,950000000.0,Apartamento,6333333.0
5144,4.569,-74.097,Cundinamarca,Bogotá D.C,1.0,2.0,60.0,64.0,425000000.0,Apartamento,7083333.0
5145,4.69,-74.055,Cundinamarca,Bogotá D.C,1.0,3.0,102.0,102.0,930000000.0,Apartamento,9117647.0
5146,3.364,-76.495,Valle del Cauca,Cali,2.0,2.0,80.0,80.0,320000000.0,Apartamento,4000000.0
5147,4.807,-75.756,Risaralda,Pereira,2.0,2.0,52.0,52.0,220000000.0,Apartamento,4230769.0
5148,4.801,-75.751,Risaralda,Pereira,2.0,2.0,64.0,64.0,210000000.0,Apartamento,3281250.0
5149,6.244,-75.598,Antioquia,Medellín,2.0,3.0,82.0,82.0,270000000.0,Apartamento,3292682.0
5150,4.797,-75.793,Risaralda,Pereira,3.0,2.0,1250.0,350.0,700000000.0,Casa,560000.0
5151,4.807,-75.681,Risaralda,Pereira,3.0,2.0,120.0,120.0,360000000.0,Apartamento,3000000.0
5152,4.746,-74.052,Cundinamarca,Bogotá D.C,3.0,2.0,61.0,61.0,220000000.0,Apartamento,3606557.0
5153,7.105,-73.112,Santander,Bucaramanga,3.0,2.0,79.0,79.0,260800000.0,Apartamento,3301265.0
5154,11.211,-74.185,Magdalena,Santa Marta,3.0,2.0,61.0,61.0,103842080.0,Apartamento,1702329.0
5155,11.012,-74.839,Atlántico,Barranquilla,3.0,3.0,125.0,125.0,430000000.0,Casa,3440000.0
5156,6.166,-75.569,Antioquia,Envigado,3.0,3.0,130.0,130.0,680000000.0,Apartamento,5230769.0
5157,6.174,-75.57,Antioquia,Envigado,3.0,3.0,116.0,116.0,520000000.0,Apartamento,4482758.0
5159,4.693,-74.041,Cundinamarca,Bogotá D.C,3.0,3.0,153.0,153.0,800000000.0,Apartamento,5228758.0
5160,4.909,-74.018,Cundinamarca,Cajicá,3.0,4.0,170.0,179.0,830000000.0,Casa,4882352.0
5162,4.708,-74.082,Cundinamarca,Bogotá D.C,3.0,4.0,136.0,136.0,650000000.0,Casa,4779411.0
5163,4.802,-75.681,Risaralda,Pereira,3.0,4.0,245.0,245.0,850000000.0,Apartamento,3469387.0
5165,4.888,-74.009,Cundinamarca,Chía,3.0,5.0,892.0,189.0,980000000.0,Casa,1098654.0
5166,4.742,-74.058,Cundinamarca,Bogotá D.C,4.0,2.0,63.0,63.0,216306100.0,Casa,3433430.0
5167,10.965,-74.78,Atlántico,Barranquilla,4.0,2.0,210.0,200.0,280000000.0,Casa,1333333.0
5168,4.077,-76.192,Valle del Cauca,Tuluá,4.0,3.0,158.0,111.0,280000000.0,Casa,1772151.0
5170,7.114,-73.132,Santander,Bucaramanga,4.0,3.0,151.0,151.0,326400000.0,Casa,2161589.0
5172,4.727,-74.037,Cundinamarca,Bogotá D.C,4.0,3.0,200.0,200.0,685000000.0,Apartamento,3425000.0
5173,4.806,-75.679,Risaralda,Pereira,4.0,4.0,192.0,192.0,481600000.0,Casa,2508333.0
5176,4.849,-74.075,Cundinamarca,Chía,4.0,5.0,543.0,343.0,800000000.0,Casa,1473296.0
5179,4.445,-74.666,Cundinamarca,Tocaima,5.0,5.0,1516.0,330.0,395000000.0,Casa,260554.0
5183,4.548,-75.675,Quindío,Armenia,4.0,3.0,72.0,144.0,220000000.0,Casa,3055555.0
5184,3.407,-76.531,Valle del Cauca,Cali,2.0,2.0,50.0,50.0,168000000.0,Apartamento,3360000.0
5185,3.477,-76.491,Valle del Cauca,Cali,3.0,1.0,63.0,63.0,75000000.0,Apartamento,1190476.0
5186,6.173,-75.571,Antioquia,Envigado,3.0,2.0,72.0,72.0,330000000.0,Apartamento,4583333.0
5187,3.481,-76.497,Valle del Cauca,Cali,3.0,3.0,76.0,76.0,230000000.0,Casa,3026315.0
5188,11.023,-74.816,Atlántico,Barranquilla,3.0,3.0,98.0,98.0,330000000.0,Casa,3367346.0
5189,7.838,-72.474,Norte de Santander,Villa del Rosario,5.0,4.0,126.0,160.0,430000000.0,Casa,3412698.0
5190,4.811,-75.709,Risaralda,Pereira,4.0,5.0,225.0,225.0,380000000.0,Casa,1688888.0
5191,4.801,-75.747,Risaralda,Pereira,3.0,4.0,126.0,126.0,250000000.0,Casa,1984126.0
5192,4.811,-75.709,Risaralda,Pereira,3.0,3.0,108.0,108.0,285000000.0,Casa,2638888.0
